===== 各类问题比例 =====
Num_Error: 2535 (24.06%)
Page_Mixed: 1531 (14.53%)
Initially_Unstructured: 326 (3.09%)
Title_Mixed: 4497 (42.69%)
Publication_Mixed: 191 (1.81%)
Year_Mixed: 91 (0.86%)
Mutiple_References: 241 (2.29%)
Dubiously_Fake_References: 3869 (36.73%)
Plausibly_Structured: 3058 (29.03%)
总计: 10534 文件
